company,year,salary,university,term,location,bonus,role,arrangement
1password,2023,50.0,University of Waterloo,4.0,,0.0,Unreported,
Abbott,2023,22.05,University of Waterloo,2.0,,0.0,Unreported,
Abnormal Security,2024,70.38,University of Waterloo,,,6900.0,Unreported,
Accedo,2022,26.0,University of Waterloo,3.0,,0.0,Unreported,
Achievers,2024,22.5,University of Waterloo,,,0.0,Unreported,
Addepar,2024,40.0,University of Waterloo,,,0.0,Unreported,
Addepar,2022,48.0,University of Waterloo,5.0,,0.0,Unreported,
AdHawk Microsystems,2024,40.0,University of Waterloo,5.0,,0.0,Algorithms Developer,
ADP,2022,44.0,University of Waterloo,,,0.0,Unreported,
AGF,2023,25.0,University of Waterloo,2.0,,0.0,Web Developer (Junior),
AI Arena,2024,45.0,University of Waterloo,,,0.0,Unreported,
Akuna Capital,2023,89.7,University of Waterloo,,,0.0,Unreported,
Altice,2024,35.0,University of Waterloo,6.0,,0.0,Unreported,
Amazon,2024,79.52,University of Waterloo,,,13386.0,Unreported,
AMD,2024,27.0,University of Waterloo,,,0.0,Unreported,
AMD,2024,21.88,University of Waterloo,4.0,,0.0,Unreported,
AMD,2022,29.33,University of Waterloo,6.0,,0.0,Unreported,
American Express,2024,34.5,University of Waterloo,,,0.0,Unreported,
Apple,2023,34.0,University of Waterloo,,,7728.0,Unreported,
Apple,2022,37.0,University of Waterloo,4.0,,7452.0,Unreported,
Apple,2023,44.0,University of Waterloo,6.0,,5520.0,Product Design,
Apple,2024,57.96,University of Waterloo,4.0,,18409.8,Hardware,
Apple,2024,57.96,University of Waterloo,,,5520.0,System Level Test Engineer,
Arctic Wolf,2023,36.0,University of Waterloo,3.0,,0.0,Unreported,
Arctic Wolf,2023,42.0,University of Waterloo,4.0,,0.0,Unreported,
Arctic Wolf,2024,38.0,University of Waterloo,4.0,,0.0,Unreported,
Aterlo Networks,2023,30.0,University of Waterloo,4.0,,0.0,Unreported,
Athelas,2023,45.54,University of Waterloo,2.0,,6624.0,Unreported,
Athos,2023,43.13,University of Waterloo,,,0.0,Unreported,
Atolio,2022,34.0,University of Waterloo,3.0,,0.0,Unreported,
Atolio,2022,38.0,University of Waterloo,4.0,,0.0,Unreported,
Atolio,2023,38.0,University of Waterloo,5.0,,0.0,Unreported,
Atolio,2023,42.0,University of Waterloo,6.0,,0.0,Unreported,
ATS Corporation,2022,28.0,University of Waterloo,7.0,,0.0,Unreported,
Autodesk,2023,33.0,University of Waterloo,4.0,,0.0,Unreported,
Autodesk,2024,34.0,University of Waterloo,5.0,,0.0,Unreported,
Autonomic,2022,39.0,University of Waterloo,4.0,,0.0,Unreported,
Autonomic,2022,41.0,University of Waterloo,5.0,,0.0,Unreported,
Axonify,2024,27.5,University of Waterloo,4.0,,0.0,Unreported,
Bank of America,2024,22.0,University of Waterloo,2.0,,0.0,Unreported,
