Timestamp,company,term,salary,bonus,year,location
13/02/2020 12:31:25,Morgan Stanley,1st,22.6,2000,2018,Montreal
13/02/2020 12:31:52,Morgan Stanley,2nd,25,2000,2019,Montreal
13/02/2020 12:32:14,Morgan Stanley,3rd,27.4,2000,2020,Montreal
13/02/2020 12:32:20,Bombardier,1st,18.25,0,2019,Mirabel
13/02/2020 12:33:54,Square Enix,1st,21,0,2019,Montreal
13/02/2020 12:36:46,Audiokinetic,1st,17.5,0,2018,Montreal
13/02/2020 12:37:20,Warner Bros. Games Montreal,2nd,20,0,2019,Montreal
13/02/2020 12:39:15,Matrox,1st,18,0,2018,West Island
13/02/2020 12:39:43,Dental Wings,2nd,22.7,0,2019,Montreal
13/02/2020 12:39:51,CAE,1st,21.75,0,2019,West Island
13/02/2020 12:42:05,CAE,2nd,21,0,2019,West Island
13/02/2020 13:03:02,Accedian,1st,19,0,2019,West Island
13/02/2020 13:15:35,NeuroRx Research,1st,19,0,2018,Montreal
13/02/2020 13:26:47,Genetec,3rd,22,0,2019,West Island
13/02/2020 13:32:22,Bloomberg,Greater than 3rd,63,2600,2020,New York City
13/02/2020 13:33:33,Amazon,3rd,41,0,2019,Vancouver
13/02/2020 13:36:34,Facebook,Greater than 3rd,61,0,2020,Bay Area
13/02/2020 13:38:13,Lockheed Martin,1st,17.75,0,2019,West Island
13/02/2020 13:41:09,Uber,Greater than 3rd,57,4716,2019,Bay Area
13/02/2020 13:41:37,LinkedIn ,Greater than 3rd,59,0,2019,Bay Area
13/02/2020 13:44:18,Google,Greater than 3rd,57,11790,2019,Bay Area
13/02/2020 13:58:28,Coveo,2nd,21,0,2018,Montreal
13/02/2020 14:17:51,CDPQ,3rd,29.8,0,2020,Montreal
13/02/2020 14:39:59,Ericsson,1st,20.25,0,2020,Montreal
13/02/2020 16:08:36,Ubisoft,1st,21,1,2020,Montreal
16/02/2020 21:21:34,SAP,2nd,23,1,2019,Montreal
17/02/2020 15:54:58,Ericsson,1st,18.5,1,2018,Montreal
17/02/2020 17:05:28,Sofdesk,2nd,22,0,2020,Montreal
17/02/2020 17:06:38,SSENSE,1st,21,0,2019,Montreal
17/02/2020 20:36:23,Mira Geoscience,1st,21,0,2020,Montreal
17/02/2020 20:36:45,Mira Geoscience,2nd,21,0,2019,Montreal
17/02/2020 21:25:52,Matrox,1st,18,0,2019,West Island
18/02/2020 00:14:46,CAE,1st,20,0,2019,St-Laurent
29/02/2020 19:31:37,McKesson Canada,1st,19,450,2020,St-Laurent
02/03/2020 19:10:32,Morgan Stanley,1st,25,2000,2020,Montreal
21/04/2020 10:56:47,Bombardier,1st,20,0,2020,St-Bruno
13/05/2020 16:21:41,McKesson Canada,1st,19,450,2020,St-Laurent
29/09/2020 16:44:12,Octasic,1st,19.5,0,2020,Montreal
29/09/2020 16:46:25,Genetec,2nd,20.75,0,2020,Montreal
29/09/2020 16:48:42,Intact,2nd,23.45,0,2021,Montreal
30/09/2020 11:29:38,Tangerine Software,1st,20,0,2020,Montreal
30/09/2020 13:21:29,CAE,1st,20,0,2018,Montreal
30/09/2020 20:50:42,Ubisoft,3rd,22,0,2020,Montreal
30/09/2020 20:51:00,SAP,2nd,24,0,2020,Montreal
01/10/2020 13:24:40,Ericsson,1st,19.5,0,2020,Montreal
02/10/2020 01:27:38,Genetec,2nd,23.71,0,2020,Montreal
26/10/2020 13:16:09,SAP,Greater than 3rd,32,0,2020,Montreal
27/10/2020 14:02:12,AUDELA,Greater than 3rd,24,0,2019,Montreal
19/11/2020 18:17:27,Consoltec,1st,18,0,2021,Montreal
07/12/2020 15:29:23,Genetec,1st,19.5,0,2020,St-Laurent
07/12/2020 21:23:53,Sun Life Financial Canada,1st,20,0,2020,Montreal
10/12/2020 18:50:45,Matrox,1st,19,0,2020,West Island
10/12/2020 18:51:08,Matrox,2nd,20,0,2020,West Island
10/12/2020 18:51:46,Matrox,3rd,23,0,2021,West Island
05/01/2021 17:18:47,Nakisa,1st,15,0,2018,Montreal
